Data	NiW2DDCL2
Recipe	ADRIEN
Site Name	
Number of Points	251
Number of Traces	30
X-Resolution	2.000000
Y-Resolution	17.000000
X-Coord	3050.00
Y-Coord	2553.50

Normal	Data
14	  -415.977	    2843.4	   727.143	  -2393.63	  -9657.77	  -7633.63	  -11946.3	  -16172.8	  -12000.6	  -4704.86	    2595.5	   34254.8	   43643.9	   40867.2	   33020.2	   20775.4	   11607.4	   -6183.5	  -12598.8	  -3487.52	   17177.1	   20316.7	   16113.2	   4234.42	  -9566.68	  -20084.2	  -33451.4	  -38419.4	  -40761.1	  -43378.4
15	  -527.829	   2821.78	   332.431	  -2623.57	   -7726.5	   -6669.4	  -12423.3	  -16600.6	  -12923.8	  -6103.65	   3984.18	   36092.1	   43849.5	   42198.4	   34910.2	   22939.4	   13880.1	  -4265.32	  -12733.7	  -3623.95	   16805.7	   19590.3	   15618.3	   4207.05	  -9784.36	  -22737.8	  -33661.7	    -38158	  -40566.5	  -43431.6
16	  -177.932	   2458.91	   551.704	  -2920.31	  -3652.58	  -5310.26	  -12335.2	  -16846.7	  -13655.4	   -8223.7	   5052.09	   36880.6	   44976.4	   43497.7	   36419.9	   25050.4	   14933.9	  -1848.25	  -12450.6	  -3950.81	   16269.3	   19015.7	   15222.6	   3978.31	  -10308.1	  -26257.3	  -33752.4	  -37951.6	  -40317.8	  -43625.9
17	   328.747	    2560.1	   747.664	  -2735.29	   1364.27	  -3608.86	  -13403.8	  -17411.5	  -14479.1	  -10195.4	   6666.88	   38130.6	   46061.1	   44645.3	   37564.1	   27258.1	   16259.6	    70.628	  -12002.3	  -4020.52	   15065.2	   18563.9	   14897.4	   3770.85	  -11585.3	  -27783.9	  -33645.2	  -37841.5	  -39832.7	  -43684.4
18	   1065.41	   2925.85	   1181.39	  -1746.07	   4519.57	  -1672.09	  -15673.7	  -18143.2	  -15191.3	  -11279.5	    9352.4	   40061.7	   46958.8	   45839.1	   38680.4	     29321	   18154.7	   1523.78	  -11325.9	  -4251.68	   13883.4	   18101.4	   14462.1	    3461.4	  -12650.5	  -28365.8	  -33118.7	  -37470.5	  -39215.7	  -43690.4
19	   1710.65	   3401.81	   1860.96	  -1475.42	   4472.53	   730.781	  -16862.2	  -18656.9	  -15711.5	  -11800.3	   12144.2	   41862.7	   47808.3	   47072.9	   39832.6	   31047.8	   19829.7	   3085.94	  -10230.9	  -4592.02	   13224.9	   17630.1	   13808.7	    3039.5	  -13255.2	    -29203	  -33656.1	  -37088.8	  -38807.7	  -43867.3
20	   1960.58	   3768.72	   2446.75	  -1820.11	   1239.18	   3575.87	  -17245.9	  -18879.3	  -16442.8	  -12070.4	     14150	   42857.7	   48469.8	   48254.9	   40784.8	   32572.3	   20908.5	   4934.82	   -9142.4	  -4938.61	   12638.7	   17361.3	   13221.7	   2857.21	  -13863.8	  -30175.3	  -35348.9	  -37321.9	  -38536.1	  -44095.5
21	   2357.59	   4379.87	   2886.11	  -1356.43	  -3860.47	   6663.29	  -17678.8	  -18898.1	  -17108.6	  -12169.8	   15559.8	   43216.1	   49316.9	   49106.4	   41478.7	   33921.3	   21890.8	   6764.23	  -8624.47	  -5617.65	   11848.3	   17163.8	   13194.3	   2322.63	  -14947.6	  -30880.7	  -36145.9	    -37808	  -38182.2	  -44149.1
22	   2984.02	   4654.78	   3231.76	  -112.115	  -7793.38	   9012.15	  -18012.1	    -19043	  -17567.1	  -12548.7	   16454.9	   43272.2	   50378.7	   49748.4	   42190.7	   35194.4	   23128.9	   8434.83	  -7707.31	  -6558.87	   10380.4	   16997.4	   13166.1	   1357.51	  -16392.2	  -31285.7	  -36067.5	    -37632	    -37731	  -44233.5
23	   3554.46	   4562.66	   3458.93	    1248.5	  -8756.45	   9516.72	  -18331.9	  -19122.2	    -18150	  -12955.2	   16934.1	     43333	   51185.6	   50419.5	   43056.4	   36490.1	   24266.7	   10146.4	  -6028.82	  -7747.99	   8310.88	   16684.2	   12751.2	   540.094	  -17356.5	  -31503.4	  -36099.8	  -37469.6	    -37818	  -44557.5
24	   4172.61	   5101.62	   3759.37	   2361.57	  -7454.42	   7637.39	  -18397.9	  -19085.3	  -18529.1	  -12978.4	   17138.3	   43915.1	   51555.7	   51054.4	   43997.6	   37737.2	   25362.4	   11546.6	  -4432.76	  -8325.95	   6275.34	   16001.5	   12231.8	  -116.368	  -17915.9	  -31795.1	  -36739.8	  -37769.7	  -38437.8	  -44673.5
25	   4801.85	    5919.9	   4736.33	   2658.28	  -6472.47	   2884.48	  -18205.1	  -19070.3	  -18628.4	  -12925.7	   16384.2	   44850.3	   51958.9	   51535.7	   44717.6	   38909.7	   26646.9	   12453.8	  -3022.27	  -7980.66	   4261.58	   14977.4	   11451.9	  -701.549	  -18690.6	  -32287.5	  -37360.2	  -38130.5	  -38768.7	  -44694.3
26	   5438.53	    7431.2	   6640.17	   2074.46	  -6170.54	  -3839.73	  -18076.8	  -18778.1	  -18813.9	  -12835.2	   14337.8	     45585	   52600.1	   51723.9	   45000.4	   40453.1	   28131.7	   13474.6	  -1847.95	  -7283.45	   2059.23	   13516.5	   10479.5	  -1302.85	    -19939	  -32854.8	  -37684.8	  -38628.6	  -38479.1	  -44902.8
27	   6359.65	   10118.1	   9221.42	   2451.28	  -5637.16	  -9027.79	  -17806.7	  -18295.9	    -18877	  -12478.3	   11618.1	   44586.5	   53256.8	   51640.7	   45411.2	   42505.8	   29707.8	   14937.4	  -368.319	   -6932.7	   106.379	   11596.8	   9565.67	  -2166.14	  -21825.5	  -33320.7	  -37919.7	  -38974.3	    -38139	  -44926.4
28	   7715.98	   13269.8	   12241.3	   4534.51	  -5034.47	  -10568.9	  -17201.8	  -17780.1	  -18796.4	  -12021.5	   9116.07	   41935.9	   54027.7	   51601.7	   46042.9	     45195	   30998.3	   16549.1	   855.829	  -7088.72	  -1548.33	   9256.52	   8584.41	  -3025.68	  -23865.7	  -33547.1	  -38065.3	  -39457.1	  -38237.1	  -44938.4
29	   9386.57	   16580.2	   15433.4	   7095.87	  -3935.85	  -10168.9	  -16698.1	    -17218	  -18672.8	  -11781.8	   7611.96	   40072.4	   54458.7	   51489.4	   46264.4	   48513.5	   32160.8	   18026.9	   1235.04	  -7244.45	  -3187.34	   7527.36	   7301.03	  -3693.75	  -25204.4	    -34014	  -38259.5	  -40285.9	    -38704	  -44963.2
30	     11087	   20133.7	   18311.5	   9421.39	  -2481.81	  -9339.77	  -16271.9	  -16869.7	  -18482.8	  -11487.1	   6578.47	   39164.8	   53873.2	   50816.6	   46138.6	   51139.6	   33411.8	   19404.4	   1921.59	  -7808.05	  -4719.21	   7825.24	    5765.3	  -4328.08	  -25768.4	  -34717.7	  -38369.2	    -41250	  -39090.4	  -44772.3
31	   12494.5	   23049.8	     20948	   11692.9	  -766.616	  -8073.34	    -15558	  -16709.5	    -18252	  -11034.6	   5612.21	   38348.5	   53227.5	   49527.4	   45690.9	   52590.2	     34553	   20631.7	   3071.26	  -8409.32	   -6269.5	   6105.64	   3973.36	  -5204.46	  -25813.9	  -34951.7	  -38362.9	  -41996.4	  -39356.7	  -44754.5
32	     13906	   25367.3	   23636.8	   14256.8	   1406.89	  -6652.06	  -14873.3	  -16461.5	  -17908.6	    -10586	   5027.42	   37582.9	   53392.2	   47474.9	   44943.4	   53269.1	   35662.2	   21729.2	   4725.78	  -8821.77	  -7746.15	   1115.85	   2218.74	  -6431.55	  -25923.6	  -34604.9	  -38396.1	  -41678.4	  -40779.1	  -44628.7
33	   15808.7	   27348.4	   26133.3	   16667.3	   3319.48	  -5758.74	  -14318.5	    -16069	  -17762.9	    -10417	   4549.54	   36157.3	   53129.6	   45307.3	   44189.9	     53137	   37153.4	   22921.6	   6797.74	   -9299.2	  -9423.08	  -2869.52	   510.261	  -7674.62	  -25672.3	  -34210.6	  -38267.5	    -41027	  -42196.5	  -44321.3
34	   17737.4	   29260.8	     28110	     18611	   5270.69	  -5245.02	  -13594.6	  -15778.3	  -17463.7	  -10220.1	   3414.55	   33709.3	   51400.6	     44108	   43394.9	   52464.5	   39158.5	   24359.3	   8498.04	   -8706.3	  -11600.1	   -5390.9	  -1864.94	  -8849.67	  -24275.7	  -34091.7	    -38035	  -40837.6	  -42034.4	  -44854.6
35	   19352.9	   31618.8	   29560.1	   20135.9	   7636.21	  -4239.75	  -12931.1	  -15631.9	  -17035.1	  -9685.77	   972.851	   30601.8	   48828.7	     43281	   42311.9	   51848.4	   41107.8	   25832.5	   9779.36	  -6658.95	  -13893.2	  -7699.82	  -4230.94	  -10227.4	  -23083.5	  -34040.2	  -37947.5	  -40721.2	  -41939.4	  -45482.6
36	   20472.2	   33645.7	   30794.7	   21437.4	   9606.12	  -2391.41	    -12455	  -15641.2	    -16702	  -9115.81	  -1255.49	   27014.3	   46329.8	   42165.9	   40865.7	   51481.5	     42870	     27249	   11219.9	  -4145.91	  -15684.5	  -10148.5	   -6475.3	  -11911.4	  -22793.6	  -33755.9	  -37677.1	  -40582.9	  -42373.2	  -45996.6
37	     21086	   35037.6	   32202.3	   22627.7	   11029.2	  -60.8727	  -11981.7	  -15789.5	  -16188.8	   -8847.3	  -1976.46	   22835.1	   44167.6	   41201.1	   39437.7	   51092.3	   45016.4	   28668.9	   12901.9	  -1957.84	  -16730.3	  -12814.8	  -8934.24	  -13687.2	  -23331.1	  -32817.1	  -37306.9	  -40377.8	  -42727.2	  -46679.6
